TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
MILTON,(J2),54,22,76,2.31,2022
MONROE,(D2W),44,46,90,4.02,2022
MONT_VERNON,(K),30,8,38,2.26,2022
MOULTONBORO,(J1/J2),68,51,119,2,2022
NASHUA,(M),13,18,31,1.02,2022
NELSON,(H2),23,17,40,1.82,2022
NEW_BOSTON,(K),81,49,130,3.05,2022
NEW_CASTLE,(M),1,0,1,1.27,2022
NEW_DURHAM,(J2),52,25,77,1.87,2022
NEW_HAMPTON,(G2/I1/J2),39,18,57,1.55,2022
NEW_IPSWICH,(K),38,38,76,2.33,2022
NEW_LONDON,(G1/I1/I2),16,4,20,0.9,2022
NEWBURY,(I2),27,6,33,0.92,2022
NEWFIELDS,(L),17,3,20,2.82,2022
NEWINGTON,(M),33,52,85,10.43,2022
NEWMARKET,(L),46,48,94,7.45,2022
NEWPORT,(H1/I2),65,31,96,2.22,2022
NEWTON,(M),33,16,49,5.02,2022
NORTH_HAMPTON,(M),46,37,83,5.99,2022
NORTHFIELD,(I1/J2),57,25,82,2.87,2022
NORTHUMBERLAND,(B/C1/D1),20,5,25,0.7,2022
NORTHWOOD,(J2/L),37,27,64,2.28,2022
NOTTINGHAM,(L),57,36,93,1.99,2022
ODELL,(B),2,0,2,0.04,2022
ORANGE,(G1/G2),11,1,12,0.52,2022
ORFORD,(D2W/G1),57,38,95,2.04,2022
OSSIPEE,(J1),61,18,79,1.12,2022
PELHAM,(M),32,29,61,2.35,2022
PEMBROKE,(L),37,33,70,3.12,2022
PETERBOROUGH,(H2/K),47,24,71,1.89,2022
PIERMONT,(D2W),47,27,74,1.92,2022
PITTSBURG,(A),146,20,166,0.59,2022
PITTSFIELD,(J2),53,25,78,3.29,2022
PLAINFIELD,(H1),105,58,163,3.12,2022
PLAISTOW,(M),18,8,26,2.46,2022
PLYMOUTH,(F/G2),15,7,22,0.79,2022
PORTSMOUTH,(M),25,21,46,2.94,2022
RANDOLPH,(C1/E),5,0,5,0.11,2022
RAYMOND,(L/M),43,33,76,2.64,2022
RICHMOND,(H2),37,14,51,1.36,2022
RINDGE,(H2/K),54,43,97,2.62,2022
ROCHESTER,(J2/L),94,57,151,3.41,2022
ROLLINSFORD,(L),40,20,60,8.2,2022
ROXBURY,(H2),12,3,15,1.25,2022
RUMNEY,(F/G1/G2),17,1,18,0.43,2022
RYE,(M),39,36,75,6,2022
SALEM,(M),36,25,61,2.47,2022
SALISBURY,(I1),27,12,39,0.99,2022
SANBORNTON,(I1/J2),51,21,72,1.52,2022
SANDOWN,(M),10,7,17,1.22,2022
SANDWICH,(F/J1),38,4,42,0.46,2022
SEABROOK,(M),12,8,20,2.25,2022
SECOND_COLL_GRANT,(A),15,0,15,0.36,2022
SHARON,(K),18,6,24,1.54,2022
SHELBURNE,(C2/E),18,0,18,0.38,2022
SOMERSWORTH,(L),20,9,29,2.99,2022
SOUTH_HAMPTON,(M),31,20,51,6.47,2022
SPRINGFIELD,(G1/I2),34,9,43,0.99,2022
STARK,(B/C1),17,4,21,0.36,2022
STEWARTSTOWN,(A),36,7,43,0.93,2022
STODDARD,(H2/I2),24,9,33,0.65,2022
STRAFFORD,(J2),75,51,126,2.59,2022
STRATFORD,(B),31,6,37,0.47,2022
STRATHAM,(L/M),37,30,67,4.43,2022
SUCCESS,(C2),3,0,3,0.05,2022
SUGAR_HILL,(D1/D2W),9,3,12,0.7,2022
SULLIVAN,(H2),24,10,34,1.84,2022
SUNAPEE,(G1/I2),25,11,36,1.72,2022
SURRY,(H2),22,14,36,2.33,2022
SUTTON,(I1/I2),23,9,32,0.76,2022
SWANZEY,(H2),60,53,113,2.54,2022
TAMWORTH,(F/J1),24,2,26,0.44,2022
TEMPLE,(K),22,11,33,1.49,2022
THORNTON,(F),17,5,22,0.44,2022
TILTON,(I1/J2),13,6,19,1.71,2022
TROY,(H2),44,19,63,3.61,2022
TUFTONBORO,(J1/J2),69,20,89,2.2,2022
UNITY,(H1),52,40,92,2.49,2022
WAKEFIELD,(J1/J2),58,27,85,2.15,2022
WALPOLE,(H1/H2),65,30,95,2.7,2022
WARNER,(I1/I2),31,9,40,0.73,2022
WARREN,(D2E/D2W/F),23,3,26,0.54,2022
WASHINGTON,(I2),36,8,44,0.97,2022
WATERVILLE,VALLEY,(E/F),0,1,1,0.02,2022
WEARE,(K),79,63,142,2.52,2022
WEBSTER,(I1),34,23,57,2.05,2022
WENTWORTH,(D2W/F/G1),32,5,37,0.89,2022
WENTWORTHS_LOCATION,(A/C2),7,2,9,0.49,2022
WESTMORELAND,(H2),66,37,103,2.88,2022
WHITEFIELD,(D1),28,5,33,0.96,2022
WILMOT,(G1/I1),16,6,22,0.75,2022
WILTON,(K),39,15,54,2.12,2022
WINCHESTER,(H2),73,22,95,1.74,2022
WINDHAM,(M),39,22,61,2.29,2022
WINDSOR,(I2),4,2,6,0.73,2022
WOLFEBORO,(J1/J2),73,15,88,1.83,2022
WOODSTOCK,(D2E/F),11,0,11,0.19,2022
ACWORTH,(H1),53,12,65,1.67,2023
ALBANY,(E/F/J1),13,2,15,0.2,2023
ALEXANDRIA,(G2/I1),21,3,24,0.55,2023
ALLENSTOWN,(L),16,12,28,1.38,2023
ALSTEAD,(H1/H2),53,14,67,1.73,2023
ALTON,(J2),101,40,141,2.22,2023
AMHERST,(K/M),44,39,83,2.46,2023
ANDOVER,(G1/I1),34,4,38,0.95,2023
ANTRIM,(H2/I2/K),28,7,35,0.99,2023
ASHLAND,(F/G2/J2),11,5,16,1.42,2023
ATKINSON,(M),32,14,46,4.12,2023
Atkinson & Gilmanton,(A),3,0,3,0.16,2023
AUBURN,(L/M),38,30,68,2.68,2023
BARNSTEAD,(J2),81,40,121,2.84,2023
BARRINGTON,(J2/L),64,65,129,2.78,2023
